Siruta,Localitate,Activitate
140770,Cristolt,Alimentara
83428,Oras Baile Tusnad,Alimentara
34280,Rebrisoara,Alimentara
42472,Holbav,Lemnului
58856,Panticeu,Alimentara
42480,Dragus,Alimentara
108017,Oras Dragomiresti,Alimentara
17913,Poienarii De Arges,Lemnului
124411,Stefan Cel Mare,Alimentara
75258,Munteni,Mobila
108035,Dumbravita,Metalurgica
26118,Vultureni,Alimentara
83464,Oras Balan,Alimentara
9743,Almas,Alimentara
140823,Criseni,Alimentara
34333,Rodna,Lemnului
173597,Sutesti,ChimicaFarmaceutica
83491,Oras Borsec,Alimentara
58918,Petrestii De Jos,Alimentara
