Siruta,Localitate,Cifra de afaceri
173793,Susani,302556.0
149227,Oras Liteni,2931862.0
165611,Pungesti,0.0
26346,Gioseni,0.0
50923,Oras Baile Herculane,3968103.0
132841,Cosminele,1583403.0
108268,Miresu Mare,4235300.0
26353,Odobesti,0.0
18162,Popesti,0.0
157424,Jebel,3582155.0
34547,Spermezeu,0.0
124661,Timisesti,110615.0
100086,Vanatori,1202572.0
26361,Prajesti,3032182.0
59130,Recea-Cristur,0.0
75515,Barcea,210221.0
67327,Dragodana,2041764.0
42753,Oras Faurei,173535.0
1794,Oras Ocna Mures,11492118.0
157451,Lenauheim,132503.0
26379,Itesti,3600.0
116493,Danes,4656631.0
42771,Surdila-Greci,0.0
10006,Birchis,1182984.0
75542,Balabanesti,0.0
50969,Oras Bocsa,81735132.0
141081,Fildu De Jos,79427.0
173855,Tetoiu,0.0
91937,Valisoara,0.0
132896,Drajna,22640876.0
83749,Oras Vlahita,7517456.0
149290,Marginea,23904335.0
50987,Ocna De Fier,0.0
124723,Trifesti,136517.0
100148,Vladeni,0.0
34618,Sant,13006400.0
157497,Liebling,31569680.0
108348,Moisei,28278305.0
116545,Deda,7257050.0
18242,Priboieni,254967.0
51010,Municipiul Caransebes,254052736.0
10051,Barsa,0.0
149316,Malini,25938443.0
42824,Baraganul,0.0
83785,Atid,702604.0
141134,Galgau,1918667.0
67407,Dragomiresti,487801.0
91982,Vetel,115928226.0
108366,Oarta De Jos,0.0
124750,Tupilati,0.0
1874,Municipiul Sebes,3783989414.0
34645,Sieu,126440.0
165719,Rebricea,0.0
157530,Lovrin,486086.0
42842,Bertestii De Jos,0.0
75613,Balasesti,0.0
59238,Risca,2064323.0
173935,Tomsani,2667263.0
116590,Eremitu,5998690.0
51056,Oras Moldova Noua,95509458.0
108400,Ocna Sugatag,2418555.0
10104,Barzava,0.0
149370,Manastirea Humorului,2172272.0
100219,Voinesti,342976.0
34690,Sieu-Magherus,5948962.0
124803,Tibucani,182382.0
83847,Avramesti,7420.0
67470,Finta,0.0
1936,Oras Zlatna,98077860.0
59283,Sacuieu,760109.0
157585,Margina,460180.0
75668,Baleni,0.0
133018,Draganesti,54172.0
